label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,045_neg_Cohort_1_1,046_neg_Cohort_1_2,047_neg_Cohort_1_3,048_neg_Cohort_1_4,049_neg_Cohort_1_5,053_neg_Cohort_2_1,054_neg_Cohort_2_2,055_neg_Cohort_2_3,056_neg_Cohort_2_4,057_neg_Cohort_2_5,058_neg_Cohort_2_6,061_neg_Cohort_3_1,062_neg_Cohort_3_2,063_neg_Cohort_3_3,064_neg_Cohort_3_4,065_neg_Cohort_3_5,066_neg_Cohort_3_6,069_neg_Cohort_4_1,070_neg_Cohort_4_2,071_neg_Cohort_4_3,072_neg_Cohort_4_4,073_neg_Cohort_4_5,074_neg_Cohort_4_6,077_neg_Cohort_5_1,078_neg_Cohort_5_2,079_neg_Cohort_5_3
g,480,480,15,129.019028,3.908,0.83859,,2-Methylmaleate,C02226,C5H6O4,-1,2.365349,129.019028,67161.66,85498.7,99377.5,73085.09,129554.55,62004.59,64445.13,71061.41,115465.08,83061.78,70633.12,71305.98,63581.06,83772.05,78907.44,122900.31,63916.39,60704.03,89319.77,81481.23,65069.17,53679.61,74420.2,57958.82,59281.11,60642.99
g,481,481,6,129.01918,3.503,0.833323,,2-Methylmaleate,C02226,C5H6O4,-1,1.182675,129.01918,86338.98,76929.02,68658.58,97513.97,124024.82,54256.82,103188.2,138106.67,104114.73,92948.73,126361.92,114074.12,78151.44,86856.55,155323.59,116162.16,106995.18,48945.99,77315.16,92499.88,60587.39,87883.23,72393.92,137912.23,131699.08,73182.58
g,482,482,5,129.019058,3.761,0.8334,,2-Methylmaleate,C02226,C5H6O4,-1,2.128814,129.019058,17796.9,41795.44,35642.1,41439.88,30628.21,41218.55,23061.91,4522.07,19533.48,27491.93,19705.73,34681.17,36344.16,33575.95,30188.5,36872.89,34997.95,83151.96,70395.76,79308.91,59532.89,42311.76,79048.59,118088.51,100269.75,111737.78
g,483,483,11,129.019073,3.118,0.829698,,2-Methylmaleate,C02226,C5H6O4,-1,2.010547,129.019073,21328.6,28469.61,39624.51,52164.02,56358.66,20326.07,24469.44,5824.08,35729.86,24835.11,10342.43,16332.07,28419.37,26042.84,23616.74,57041.11,29113.43,50530.1,59081.62,82959.48,74890.24,56498.45,59637.06,80233.84,62536.05,95561.05
g,486,486,28,128.035126,3.932,0.840246,,5-Oxoproline,C01879,C5H7NO3,-1,1.549293,128.035126,11305975,15386005,17138170,13556727,19460762,13946934,15672117,12833622,17047292,16417809,17891636,16620457,13076166,19058798,19908708,19232552,15609200,10331355,13516140,13519254,13660283,9488813,13056562,7906248,7486885,5126128.5
g,487,487,12,128.035141,4.417,0.831508,,5-Oxoproline,C01879,C5H7NO3,-1,1.430117,128.035141,2063510.12,2001939.5,1396400.25,2122899.75,2508979,1528997.25,1731676.5,1814869.25,1735526.12,1157899,2163256,1303014,1116650.5,1214030.5,1352093.75,1678641.25,881839.19,1740288.38,1809888.88,922284.81,2076504.5,1546741.38,1792545.12,1276070,1176306.75,789492.19
g,488,488,15,128.03508,4.803,0.833599,,5-Oxoproline,C01879,C5H7NO3,-1,1.906822,128.03508,1206597.5,1310580.5,1421703,1088159.62,1732426.12,1025477.62,997858.12,1288908.62,1447761.88,748018.88,852181,1620560.62,1452027.75,1817315.62,1746658.38,2006904.62,2018867.5,1496271.62,1439429.88,1357692.5,1101272.25,1129336.25,1237533.62,658284.56,795952.5,848620.44
g,489,489,19,128.035141,6.571,0.820263,,5-Oxoproline,C01879,C5H7NO3,-1,1.430117,128.035141,918035.94,1113914.25,1168652.75,860046.06,1289947.5,764983.31,758686.56,777459.62,1065590.62,1008430.94,788937.75,1531996.5,915599.75,1391679.62,1060378.75,1293620.75,1042592.75,1439975.62,1194533.25,1685972.88,1501797.75,1892190,1753922.25,1323397.75,925783.75,1331415.12
g,490,490,2,128.03511,4.951,0.811121,,5-Oxoproline,C01879,C5H7NO3,-1,1.66847,128.03511,64583.99,30197.16,64009.43,52047.36,39459.88,66158.56,108420.02,204088.19,122617.61,132402.52,140080.44,509555.62,288420.38,342523.72,552658.81,297945.38,344225.81,298394.5,345190.91,309488.69,442231.94,501761.06,199659.92,616711.12,855061.44,919953.88
g,491,491,3,128.035049,7.677,0.791756,,5-Oxoproline,C01879,C5H7NO3,-1,2.145175,128.035049,483881.03,298662.16,350690.06,428321.78,489543.44,486713.19,481255,569916.38,605215.81,607584,461026.06,764793.38,841257.81,418638.97,883317.94,1126043.5,637433.44,390762.28,438396.28,342064.5,332540.69,385598.72,449129.19,38483.97,59543.68,182151.94
g,493,493,8,128.035049,2.667,0.580144,,5-Oxoproline,C01879,C5H7NO3,-1,2.145175,128.035049,19263652,11932883,17471928,19635736,20000574,15615346,13577372,17164532,12055295,21481212,13222824,20750242,15640341,16966792,17154758,25327614,20129304,18337508,21552970,21069256,21556248,19679392,13282322,19859462,26841080,27589696
g,497,497,9,125.035515,3.841,0.837805,,Thymine,C00178,C5H6N2O2,-1,1.09832,125.035515,555286.25,631270,428675.53,416456.59,672689.06,355236.34,336898.34,446021.97,411989.72,479632.44,405130.47,165548.36,326087.44,448913.34,328191.38,351496.94,309683.5,221203.88,104028.58,197469.22,206202.77,223939.59,256518.23,206748.66,124537.41,215010.08
g,498,498,8,125.035423,3.946,0.836983,,Thymine,C00178,C5H6N2O2,-1,1.830533,125.035423,146532.3,145545.08,176889.09,147714.36,162710,77307.66,237875.08,154656.2,206956.97,239192.08,280517.28,320703.28,87361.17,413062.31,375586.94,253131.25,290328.81,145348.62,170738.62,137145.41,167437.75,110028.59,191401.33,22505.14,28530.87,36060.26
g,501,501,9,120.012253,2.254,0.836771,,L-Cysteine,C00097,C3H7NO2S,-1,1.843579,120.012253,27893.26,13279.67,42098.32,15669.14,35229.34,37342.56,32301.01,29489.55,44822.09,50303.86,31861.06,44928.09,111181.64,161093.41,98067.23,132528.88,104876.97,292639.84,217136.75,263691.28,260589,239427.03,361324.22,575687.06,652178.94,493677.34
g,503,503,3,120.012146,3.445,0.824874,,L-Cysteine,C00097,C3H7NO2S,-1,2.733582,120.012146,5789.13,4880.96,16169.8,1486.54,1940.69,9209.68,3313.26,9920.77,19656.43,5447.09,5088.19,31060.85,29196.24,10377.48,35089.3,17048.64,25504.44,60334.93,106257.62,69496.48,53123.38,63490.99,101831.38,151006.55,149519.73,91721.56
g,515,515,14,118.050713,3.462,0.832818,,L-Homoserine,C00263,C4H9NO3,-1,2.132723,118.050713,7173550,9262966,9451933,6799279.5,8417079,8137724,8944476,7426587.5,10564628,7553565,7101825,9426892,8588247,6711881.5,9375561,7880338,11235066,4550032.5,7119969,5672256.5,6129393.5,4151891.75,6088640.5,7593456,10438147,5644305.5
g,517,517,14,118.050713,3.462,0.832818,,L-Threonine,C00188,C4H9NO3,-1,2.132723,118.050713,7173550,9262966,9451933,6799279.5,8417079,8137724,8944476,7426587.5,10564628,7553565,7101825,9426892,8588247,6711881.5,9375561,7880338,11235066,4550032.5,7119969,5672256.5,6129393.5,4151891.75,6088640.5,7593456,10438147,5644305.5
g,519,519,19,117.019058,4.701,0.837061,,Succinate,C00042,C4H6O4,-1,2.347118,117.019058,934201.25,851139.25,564128.06,601001.19,589506.44,549911,382331.25,474750.28,593440.88,701902.69,482610,1226771.88,680769.62,1205711.38,1661409.38,1688521.88,1276027.75,1827130,1583808.25,744703.88,631601.75,556646.94,1094363.5,569556.44,1108258,1387839.25
